0
1 2 3 4 
1 3 2 4 
4 2 3 1 
2 1 4 3 
3 4 1 2 
33
1 3 2 4 
4 2 3 1 
2 4 1 3 
3 1 4 2 
34
1 3 2 4 
4 2 3 1 
3 1 4 2 
2 4 1 3 
35
1 3 2 4 
4 2 3 1 
3 4 1 2 
2 1 4 3 
36
1 3 4 2 
2 4 1 3 
3 1 2 4 
4 2 3 1 
37
1 3 4 2 
2 4 1 3 
4 2 3 1 
3 1 2 4 
38
1 3 4 2 
2 4 3 1 
3 1 2 4 
4 2 1 3 
39
1 3 4 2 
2 4 3 1 
3 2 1 4 
4 1 2 3 
40
1 3 4 2 
2 4 3 1 
4 1 2 3 
3 2 1 4 
41
1 3 4 2 
2 4 3 1 
4 2 1 3 
3 1 2 4 
42
1 3 4 2 
4 2 1 3 
2 1 3 4 
3 4 2 1 
43
1 3 4 2 
4 2 1 3 
2 4 3 1 
3 1 2 4 
44
1 3 4 2 
4 2 1 3 
3 1 2 4 
2 4 3 1 
45
1 3 4 2 
4 2 1 3 
3 4 2 1 
2 1 3 4 
46
1 3 4 2 
4 2 3 1 
2 4 1 3 
3 1 2 4 
47
1 3 4 2 
4 2 3 1 
3 1 2 4 
2 4 1 3 
48
1 4 2 3 
2 3 1 4 
3 1 4 2 
4 2 3 1 
49
1 4 2 3 
2 3 1 4 
3 2 4 1 
4 1 3 2 
50
1 4 2 3 
2 3 1 4 
4 1 3 2 
3 2 4 1 
51
1 4 2 3 
2 3 1 4 
4 2 3 1 
3 1 4 2 
52
1 4 2 3 
2 3 4 1 
3 2 1 4 
4 1 3 2 
53
1 4 2 3 
2 3 4 1 
4 1 3 2 
3 2 1 4 
54
1 4 2 3 
3 2 1 4 
2 3 4 1 
4 1 3 2 
55
1 4 2 3 
3 2 1 4 
4 1 3 2 
2 3 4 1 
56
1 4 2 3 
3 2 4 1 
2 1 3 4 
4 3 1 2 
57
1 4 2 3 
3 2 4 1 
2 3 1 4 
4 1 3 2 
58
1 4 2 3 
3 2 4 1 
4 1 3 2 
2 3 1 4 
59
1 4 2 3 
3 2 4 1 
4 3 1 2 
2 1 3 4 
60
1 4 3 2 
2 3 1 4 
3 2 4 1 
4 1 2 3 
61
1 4 3 2 
2 3 1 4 
4 1 2 3 
3 2 4 1 
62
1 4 3 2 
2 3 4 1 
3 1 2 4 
4 2 1 3 
63
1 4 3 2 
2 3 4 1 
3 2 1 4 
4 1 2 3 
64
1 4 3 2 
2 3 4 1 
4 1 2 3 
3 2 1 4 
65
1 4 3 2 
2 3 4 1 
4 2 1 3 
3 1 2 4 
66
1 4 3 2 
3 2 1 4 
2 1 4 3 
4 3 2 1 
67
1 4 3 2 
3 2 1 4 
2 3 4 1 
4 1 2 3 
68
1 4 3 2 
3 2 1 4 
4 1 2 3 
2 3 4 1 
69
1 4 3 2 
3 2 1 4 
4 3 2 1 
2 1 4 3 
70
1 4 3 2 
3 2 4 1 
2 3 1 4 
4 1 2 3 
71
1 4 3 2 
3 2 4 1 
4 1 2 3 
2 3 1 4 
72
2 1 3 4 
3 4 1 2 
1 2 4 3 
4 3 2 1 
73
2 1 3 4 
3 4 1 2 
4 3 2 1 
1 2 4 3 
74
2 1 3 4 
3 4 2 1 
1 2 4 3 
4 3 1 2 
75
2 1 3 4 
3 4 2 1 
1 3 4 2 
4 2 1 3 
76
2 1 3 4 
3 4 2 1 
4 2 1 3 
1 3 4 2 
77
2 1 3 4 
3 4 2 1 
4 3 1 2 
1 2 4 3 
78
2 1 3 4 
4 3 1 2 
1 2 4 3 
3 4 2 1 
79
2 1 3 4 
4 3 1 2 
1 4 2 3 
3 2 4 1 
80
2 1 3 4 
4 3 1 2 
3 2 4 1 
1 4 2 3 
81
2 1 3 4 
4 3 1 2 
3 4 2 1 
1 2 4 3 
82
2 1 3 4 
4 3 2 1 
1 2 4 3 
3 4 1 2 
83
2 1 3 4 
4 3 2 1 
3 4 1 2 
1 2 4 3 
84
2 1 4 3 
3 4 1 2 
1 2 3 4 
4 3 2 1 
85
2 1 4 3 
3 4 1 2 
1 3 2 4 
4 2 3 1 
86
2 1 4 3 
3 4 1 2 
4 2 3 1 
1 3 2 4 
87
2 1 4 3 
3 4 1 2 
4 3 2 1 
1 2 3 4 
88
2 1 4 3 
3 4 2 1 
1 2 3 4 
4 3 1 2 
89
2 1 4 3 
3 4 2 1 
4 3 1 2 
1 2 3 4 
90
2 1 4 3 
4 3 1 2 
1 2 3 4 
3 4 2 1 
91
2 1 4 3 
4 3 1 2 
3 4 2 1 
1 2 3 4 
92
2 1 4 3 
4 3 2 1 
1 2 3 4 
3 4 1 2 
93
2 1 4 3 
4 3 2 1 
1 4 3 2 
3 2 1 4 
94
2 1 4 3 
4 3 2 1 
3 2 1 4 
1 4 3 2 
95
2 1 4 3 
4 3 2 1 
3 4 1 2 
1 2 3 4 
96
2 3 1 4 
1 4 2 3 
3 1 4 2 
4 2 3 1 
97
2 3 1 4 
1 4 2 3 
3 2 4 1 
4 1 3 2 
98
2 3 1 4 
1 4 2 3 
4 1 3 2 
3 2 4 1 
99
2 3 1 4 
1 4 2 3 
4 2 3 1 
3 1 4 2 
100
2 3 1 4 
1 4 3 2 
3 2 4 1 
4 1 2 3 
101
2 3 1 4 
1 4 3 2 
4 1 2 3 
3 2 4 1 
102
2 3 1 4 
4 1 2 3 
1 4 3 2 
3 2 4 1 
103
2 3 1 4 
4 1 2 3 
3 2 4 1 
1 4 3 2 
104
2 3 1 4 
4 1 3 2 
1 2 4 3 
3 4 2 1 
105
2 3 1 4 
4 1 3 2 
1 4 2 3 
3 2 4 1 
106
2 3 1 4 
4 1 3 2 
3 2 4 1 
1 4 2 3 
107
2 3 1 4 
4 1 3 2 
3 4 2 1 
1 2 4 3 
108
2 3 4 1 
1 4 2 3 
3 2 1 4 
4 1 3 2 
109
2 3 4 1 
1 4 2 3 
4 1 3 2 
3 2 1 4 
110
2 3 4 1 
1 4 3 2 
3 1 2 4 
4 2 1 3 
111
2 3 4 1 
1 4 3 2 
3 2 1 4 
4 1 2 3 
112
2 3 4 1 
1 4 3 2 
4 1 2 3 
3 2 1 4 
113
2 3 4 1 
1 4 3 2 
4 2 1 3 
3 1 2 4 
114
2 3 4 1 
4 1 2 3 
1 2 3 4 
3 4 1 2 
115
2 3 4 1 
4 1 2 3 
1 4 3 2 
3 2 1 4 
116
2 3 4 1 
4 1 2 3 
3 2 1 4 
1 4 3 2 
117
2 3 4 1 
4 1 2 3 
3 4 1 2 
1 2 3 4 
118
2 3 4 1 
4 1 3 2 
1 4 2 3 
3 2 1 4 
119
2 3 4 1 
4 1 3 2 
3 2 1 4 
1 4 2 3 
120
2 4 1 3 
1 3 2 4 
3 1 4 2 
4 2 3 1 
121
2 4 1 3 
1 3 2 4 
3 2 4 1 
4 1 3 2 
122
2 4 1 3 
1 3 2 4 
4 1 3 2 
3 2 4 1 
123
2 4 1 3 
1 3 2 4 
4 2 3 1 
3 1 4 2 
124
2 4 1 3 
1 3 4 2 
3 1 2 4 
4 2 3 1 
125
2 4 1 3 
1 3 4 2 
4 2 3 1 
3 1 2 4 
126
2 4 1 3 
3 1 2 4 
1 3 4 2 
4 2 3 1 
127
2 4 1 3 
3 1 2 4 
4 2 3 1 
1 3 4 2 
128
2 4 1 3 
3 1 4 2 
1 2 3 4 
4 3 2 1 
129
2 4 1 3 
3 1 4 2 
1 3 2 4 
4 2 3 1 
130
2 4 1 3 
3 1 4 2 
4 2 3 1 
1 3 2 4 
131
2 4 1 3 
3 1 4 2 
4 3 2 1 
1 2 3 4 
132
2 4 3 1 
1 3 2 4 
3 1 4 2 
4 2 1 3 
133
2 4 3 1 
1 3 2 4 
4 2 1 3 
3 1 4 2 
134
2 4 3 1 
1 3 4 2 
3 1 2 4 
4 2 1 3 
135
2 4 3 1 
1 3 4 2 
3 2 1 4 
4 1 2 3 
136
2 4 3 1 
1 3 4 2 
4 1 2 3 
3 2 1 4 
137
2 4 3 1 
1 3 4 2 
4 2 1 3 
3 1 2 4 
138
2 4 3 1 
3 1 2 4 
1 2 4 3 
4 3 1 2 
139
2 4 3 1 
3 1 2 4 
1 3 4 2 
4 2 1 3 
140
2 4 3 1 
3 1 2 4 
4 2 1 3 
1 3 4 2 
141
2 4 3 1 
3 1 2 4 
4 3 1 2 
1 2 4 3 
142
2 4 3 1 
3 1 4 2 
1 3 2 4 
4 2 1 3 
143
2 4 3 1 
3 1 4 2 
4 2 1 3 
1 3 2 4 
144
3 1 2 4 
2 4 1 3 
1 3 4 2 
4 2 3 1 
145
3 1 2 4 
2 4 1 3 
4 2 3 1 
1 3 4 2 
146
3 1 2 4 
2 4 3 1 
1 2 4 3 
4 3 1 2 
147
3 1 2 4 
2 4 3 1 
1 3 4 2 
4 2 1 3 
148
3 1 2 4 
2 4 3 1 
4 2 1 3 
1 3 4 2 
149
3 1 2 4 
2 4 3 1 
4 3 1 2 
1 2 4 3 
150
3 1 2 4 
4 2 1 3 
1 3 4 2 
2 4 3 1 
151
3 1 2 4 
4 2 1 3 
1 4 3 2 
2 3 4 1 
152
3 1 2 4 
4 2 1 3 
2 3 4 1 
1 4 3 2 
153
3 1 2 4 
4 2 1 3 
2 4 3 1 
1 3 4 2 
154
3 1 2 4 
4 2 3 1 
1 3 4 2 
2 4 1 3 
155
3 1 2 4 
4 2 3 1 
2 4 1 3 
1 3 4 2 
156
3 1 4 2 
2 4 1 3 
1 2 3 4 
4 3 2 1 
157
3 1 4 2 
2 4 1 3 
1 3 2 4 
4 2 3 1 
158
3 1 4 2 
2 4 1 3 
4 2 3 1 
1 3 2 4 
159
3 1 4 2 
2 4 1 3 
4 3 2 1 
1 2 3 4 
160
3 1 4 2 
2 4 3 1 
1 3 2 4 
4 2 1 3 
161
3 1 4 2 
2 4 3 1 
4 2 1 3 
1 3 2 4 
162
3 1 4 2 
4 2 1 3 
1 3 2 4 
2 4 3 1 
163
3 1 4 2 
4 2 1 3 
2 4 3 1 
1 3 2 4 
164
3 1 4 2 
4 2 3 1 
1 3 2 4 
2 4 1 3 
165
3 1 4 2 
4 2 3 1 
1 4 2 3 
2 3 1 4 
166
3 1 4 2 
4 2 3 1 
2 3 1 4 
1 4 2 3 
167
3 1 4 2 
4 2 3 1 
2 4 1 3 
1 3 2 4 
168
3 2 1 4 
1 4 2 3 
2 3 4 1 
4 1 3 2 
169
3 2 1 4 
1 4 2 3 
4 1 3 2 
2 3 4 1 
170
3 2 1 4 
1 4 3 2 
2 1 4 3 
4 3 2 1 
171
3 2 1 4 
1 4 3 2 
2 3 4 1 
4 1 2 3 
172
3 2 1 4 
1 4 3 2 
4 1 2 3 
2 3 4 1 
173
3 2 1 4 
1 4 3 2 
4 3 2 1 
2 1 4 3 
174
3 2 1 4 
4 1 2 3 
1 3 4 2 
2 4 3 1 
175
3 2 1 4 
4 1 2 3 
1 4 3 2 
2 3 4 1 
176
3 2 1 4 
4 1 2 3 
2 3 4 1 
1 4 3 2 
177
3 2 1 4 
4 1 2 3 
2 4 3 1 
1 3 4 2 
178
3 2 1 4 
4 1 3 2 
1 4 2 3 
2 3 4 1 
179
3 2 1 4 
4 1 3 2 
2 3 4 1 
1 4 2 3 
180
3 2 4 1 
1 4 2 3 
2 1 3 4 
4 3 1 2 
181
3 2 4 1 
1 4 2 3 
2 3 1 4 
4 1 3 2 
182
3 2 4 1 
1 4 2 3 
4 1 3 2 
2 3 1 4 
183
3 2 4 1 
1 4 2 3 
4 3 1 2 
2 1 3 4 
184
3 2 4 1 
1 4 3 2 
2 3 1 4 
4 1 2 3 
185
3 2 4 1 
1 4 3 2 
4 1 2 3 
2 3 1 4 
186
3 2 4 1 
4 1 2 3 
1 4 3 2 
2 3 1 4 
187
3 2 4 1 
4 1 2 3 
2 3 1 4 
1 4 3 2 
188
3 2 4 1 
4 1 3 2 
1 3 2 4 
2 4 1 3 
189
3 2 4 1 
4 1 3 2 
1 4 2 3 
2 3 1 4 
190
3 2 4 1 
4 1 3 2 
2 3 1 4 
1 4 2 3 
191
3 2 4 1 
4 1 3 2 
2 4 1 3 
1 3 2 4 
192
3 4 1 2 
1 2 3 4 
2 1 4 3 
4 3 2 1 
193
3 4 1 2 
1 2 3 4 
2 3 4 1 
4 1 2 3 
194
3 4 1 2 
1 2 3 4 
4 1 2 3 
2 3 4 1 
195
3 4 1 2 
1 2 3 4 
4 3 2 1 
2 1 4 3 
196
3 4 1 2 
1 2 4 3 
2 1 3 4 
4 3 2 1 
197
3 4 1 2 
1 2 4 3 
4 3 2 1 
2 1 3 4 
198
3 4 1 2 
2 1 3 4 
1 2 4 3 
4 3 2 1 
199
3 4 1 2 
2 1 3 4 
4 3 2 1 
1 2 4 3 
200
3 4 1 2 
2 1 4 3 
1 2 3 4 
4 3 2 1 
201
3 4 1 2 
2 1 4 3 
1 3 2 4 
4 2 3 1 
202
3 4 1 2 
2 1 4 3 
4 2 3 1 
1 3 2 4 
203
3 4 1 2 
2 1 4 3 
4 3 2 1 
1 2 3 4 
204
3 4 2 1 
1 2 3 4 
2 1 4 3 
4 3 1 2 
205
3 4 2 1 
1 2 3 4 
4 3 1 2 
2 1 4 3 
206
3 4 2 1 
1 2 4 3 
2 1 3 4 
4 3 1 2 
207
3 4 2 1 
1 2 4 3 
2 3 1 4 
4 1 3 2 
208
3 4 2 1 
1 2 4 3 
4 1 3 2 
2 3 1 4 
209
3 4 2 1 
1 2 4 3 
4 3 1 2 
2 1 3 4 
210
3 4 2 1 
2 1 3 4 
1 2 4 3 
4 3 1 2 
211
3 4 2 1 
2 1 3 4 
1 3 4 2 
4 2 1 3 
212
3 4 2 1 
2 1 3 4 
4 2 1 3 
1 3 4 2 
213
3 4 2 1 
2 1 3 4 
4 3 1 2 
1 2 4 3 
214
3 4 2 1 
2 1 4 3 
1 2 3 4 
4 3 1 2 
215
3 4 2 1 
2 1 4 3 
4 3 1 2 
1 2 3 4 
216
4 1 2 3 
2 3 1 4 
1 4 3 2 
3 2 4 1 
217
4 1 2 3 
2 3 1 4 
3 2 4 1 
1 4 3 2 
218
4 1 2 3 
2 3 4 1 
1 2 3 4 
3 4 1 2 
219
4 1 2 3 
2 3 4 1 
1 4 3 2 
3 2 1 4 
220
4 1 2 3 
2 3 4 1 
3 2 1 4 
1 4 3 2 
221
4 1 2 3 
2 3 4 1 
3 4 1 2 
1 2 3 4 
222
4 1 2 3 
3 2 1 4 
1 3 4 2 
2 4 3 1 
223
4 1 2 3 
3 2 1 4 
1 4 3 2 
2 3 4 1 
224
4 1 2 3 
3 2 1 4 
2 3 4 1 
1 4 3 2 
225
4 1 2 3 
3 2 1 4 
2 4 3 1 
1 3 4 2 
226
4 1 2 3 
3 2 4 1 
1 4 3 2 
2 3 1 4 
227
4 1 2 3 
3 2 4 1 
2 3 1 4 
1 4 3 2 
228
4 1 3 2 
2 3 1 4 
1 2 4 3 
3 4 2 1 
229
4 1 3 2 
2 3 1 4 
1 4 2 3 
3 2 4 1 
230
4 1 3 2 
2 3 1 4 
3 2 4 1 
1 4 2 3 
231
4 1 3 2 
2 3 1 4 
3 4 2 1 
1 2 4 3 
232
4 1 3 2 
2 3 4 1 
1 4 2 3 
3 2 1 4 
233
4 1 3 2 
2 3 4 1 
3 2 1 4 
1 4 2 3 
234
4 1 3 2 
3 2 1 4 
1 4 2 3 
2 3 4 1 
235
4 1 3 2 
3 2 1 4 
2 3 4 1 
1 4 2 3 
236
4 1 3 2 
3 2 4 1 
1 3 2 4 
2 4 1 3 
237
4 1 3 2 
3 2 4 1 
1 4 2 3 
2 3 1 4 
238
4 1 3 2 
3 2 4 1 
2 3 1 4 
1 4 2 3 
239
4 1 3 2 
3 2 4 1 
2 4 1 3 
1 3 2 4 
240
4 2 1 3 
1 3 2 4 
2 4 3 1 
3 1 4 2 
241
4 2 1 3 
1 3 2 4 
3 1 4 2 
2 4 3 1 
242
4 2 1 3 
1 3 4 2 
2 1 3 4 
3 4 2 1 
243
4 2 1 3 
1 3 4 2 
2 4 3 1 
3 1 2 4 
244
4 2 1 3 
1 3 4 2 
3 1 2 4 
2 4 3 1 
245
4 2 1 3 
1 3 4 2 
3 4 2 1 
2 1 3 4 
246
4 2 1 3 
3 1 2 4 
1 3 4 2 
2 4 3 1 
247
4 2 1 3 
3 1 2 4 
1 4 3 2 
2 3 4 1 
248
4 2 1 3 
3 1 2 4 
2 3 4 1 
1 4 3 2 
249
4 2 1 3 
3 1 2 4 
2 4 3 1 
1 3 4 2 
250
4 2 1 3 
3 1 4 2 
1 3 2 4 
2 4 3 1 
251
4 2 1 3 
3 1 4 2 
2 4 3 1 
1 3 2 4 
252
4 2 3 1 
1 3 2 4 
2 1 4 3 
3 4 1 2 
253
4 2 3 1 
1 3 2 4 
2 4 1 3 
3 1 4 2 
254
4 2 3 1 
1 3 2 4 
3 1 4 2 
2 4 1 3 
255
4 2 3 1 
1 3 2 4 
3 4 1 2 
2 1 4 3 
256
4 2 3 1 
1 3 4 2 
2 4 1 3 
3 1 2 4 
257
4 2 3 1 
1 3 4 2 
3 1 2 4 
2 4 1 3 
258
4 2 3 1 
3 1 2 4 
1 3 4 2 
2 4 1 3 
259
4 2 3 1 
3 1 2 4 
2 4 1 3 
1 3 4 2 
260
4 2 3 1 
3 1 4 2 
1 3 2 4 
2 4 1 3 
261
4 2 3 1 
3 1 4 2 
1 4 2 3 
2 3 1 4 
262
4 2 3 1 
3 1 4 2 
2 3 1 4 
1 4 2 3 
263
4 2 3 1 
3 1 4 2 
2 4 1 3 
1 3 2 4 
264
4 3 1 2 
1 2 3 4 
2 1 4 3 
3 4 2 1 
265
4 3 1 2 
1 2 3 4 
3 4 2 1 
2 1 4 3 
266
4 3 1 2 
1 2 4 3 
2 1 3 4 
3 4 2 1 
267
4 3 1 2 
1 2 4 3 
2 4 3 1 
3 1 2 4 
268
4 3 1 2 
1 2 4 3 
3 1 2 4 
2 4 3 1 
269
4 3 1 2 
1 2 4 3 
3 4 2 1 
2 1 3 4 
270
4 3 1 2 
2 1 3 4 
1 2 4 3 
3 4 2 1 
271
4 3 1 2 
2 1 3 4 
1 4 2 3 
3 2 4 1 
272
4 3 1 2 
2 1 3 4 
3 2 4 1 
1 4 2 3 
273
4 3 1 2 
2 1 3 4 
3 4 2 1 
1 2 4 3 
274
4 3 1 2 
2 1 4 3 
1 2 3 4 
3 4 2 1 
275
4 3 1 2 
2 1 4 3 
3 4 2 1 
1 2 3 4 
276
4 3 2 1 
1 2 3 4 
2 1 4 3 
3 4 1 2 
277
4 3 2 1 
1 2 3 4 
2 4 1 3 
3 1 4 2 
278
4 3 2 1 
1 2 3 4 
3 1 4 2 
2 4 1 3 
279
4 3 2 1 
1 2 3 4 
3 4 1 2 
2 1 4 3 
280
4 3 2 1 
1 2 4 3 
2 1 3 4 
3 4 1 2 
281
4 3 2 1 
1 2 4 3 
3 4 1 2 
2 1 3 4 
282
4 3 2 1 
2 1 3 4 
1 2 4 3 
3 4 1 2 
283
4 3 2 1 
2 1 3 4 
3 4 1 2 
1 2 4 3 
284
4 3 2 1 
2 1 4 3 
1 2 3 4 
3 4 1 2 
285
4 3 2 1 
2 1 4 3 
1 4 3 2 
3 2 1 4 
286
4 3 2 1 
2 1 4 3 
3 2 1 4 
1 4 3 2 
287
4 3 2 1 
2 1 4 3 
3 4 1 2 
1 2 3 4 
